gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,predicted_cluster,prediction_confidence
CA_15045,0.01611111111111111,0.07801190476190477,0.23895238095238094,0.03911111111111111,0.030539682539682544,0.02384126984126984,0.08746031746031747,0.35813888888888906,0.02971428571428571,0.02860317460317461,0.06951587301587302,7,0.35813888888888906
CA_15049,0.06131481481481482,0.17861507936507934,0.13919973544973546,0.07305555555555555,0.02491798941798942,0.025420634920634923,0.11829894179894178,0.22075264550264553,0.04607671957671958,0.04429629629629629,0.0680515873015873,7,0.22075264550264553
CA_15051,0.04658730158730159,0.16877777777777778,0.16447619047619047,0.0636005291005291,0.040690476190476194,0.041801587301587305,0.10298544973544972,0.15229100529100525,0.0370515873015873,0.04769841269841269,0.13403968253968254,1,0.16877777777777778
CA_15054,0.058529100529100535,0.1933015873015873,0.11918650793650794,0.08005555555555556,0.038449735449735456,0.05111111111111112,0.10361111111111108,0.1407751322751323,0.05549206349206348,0.048642857142857134,0.11084523809523811,1,0.1933015873015873
CA_15069,0.06471825396825397,0.1493373015873016,0.12120370370370369,0.06316666666666665,0.030579365079365085,0.022507936507936508,0.12819047619047622,0.2662936507936508,0.03694708994708995,0.08950000000000001,0.027555555555555552,7,0.2662936507936508
CA_15070,0.07366269841269842,0.14650396825396825,0.11067989417989416,0.0803611111111111,0.028539682539682545,0.019285714285714285,0.14999603174603174,0.24113888888888893,0.03003042328042329,0.08152380952380953,0.03827777777777778,7,0.24113888888888893
CA_15081,0.026976190476190477,0.10364285714285713,0.13776587301587304,0.06066666666666667,0.03995238095238096,0.008499999999999999,0.08803174603174604,0.4005400432900433,0.02903174603174604,0.08578138528138528,0.01911111111111111,7,0.4005400432900433
CA_15083,0.029166666666666667,0.10161904761904761,0.15284523809523812,0.06233333333333333,0.033619047619047625,0.008499999999999999,0.07853968253968255,0.4077182539682539,0.02903174603174604,0.0716825396825397,0.024944444444444446,7,0.4077182539682539
CA_15090,0.05338888888888889,0.1699920634920635,0.15806746031746033,0.055555555555555546,0.02547619047619048,0.023793650793650794,0.13677116402116404,0.2560753968253968,0.031724867724867725,0.041277777777777774,0.04787698412698413,7,0.2560753968253968
CA_15102,0.04164814814814815,0.13398809523809524,0.22909126984126985,0.05803703703703704,0.027863756613756615,0.027214285714285708,0.10609656084656086,0.23648677248677244,0.028923280423280424,0.04952777777777778,0.061123015873015864,7,0.23648677248677244
CA_15149,0.03922222222222223,0.10640079365079366,0.18034920634920637,0.03744444444444444,0.023182539682539683,0.019444444444444445,0.08224603174603175,0.37472619047619043,0.03785714285714287,0.059515873015873015,0.03961111111111111,7,0.37472619047619043
CA_15171,0.04588888888888889,0.09956481481481481,0.16134523809523812,0.08119444444444444,0.05369841269841269,0.05361111111111111,0.13115343915343913,0.1840092592592593,0.030103174603174607,0.045250000000000005,0.11418121693121694,7,0.1840092592592593
CA_15189,0.04514814814814815,0.13709126984126985,0.16374206349206352,0.07124338624338625,0.0281494708994709,0.027503968253968256,0.10392989417989418,0.28129100529100537,0.04576190476190476,0.028888888888888895,0.06724999999999999,7,0.28129100529100537
CA_15194,0.046314814814814816,0.14078968253968255,0.1374603174603175,0.06154497354497354,0.023585978835978835,0.02561507936507937,0.0796005291005291,0.3130767195767196,0.06726190476190477,0.02666666666666667,0.07808333333333335,7,0.3130767195767196
CA_15212,0.036037037037037034,0.13187698412698412,0.16210714285714284,0.04277777777777778,0.024683862433862436,0.016206349206349207,0.07528571428571429,0.3736084656084655,0.050325396825396815,0.034761904761904765,0.05232936507936507,7,0.3736084656084655
CA_15214,0.04153703703703703,0.12521031746031747,0.17260317460317456,0.03627777777777778,0.029017195767195764,0.01730952380952381,0.05675793650793651,0.39168783068783064,0.050603174603174594,0.033,0.04599603174603174,7,0.39168783068783064
